NAME.1,NAME,pop1920,pop1930,pop1940
Adams,Colorado,"14,430","20,245","22,481"
Alamosa,Colorado,"5,148","8,602","10,484"
Arapahoe,Colorado,"13,768","22,647","32,150"
Archuleta,Colorado,"3,590","3,204","3,806"
Baca,Colorado,"8,721","10,570","6,207"
Bent,Colorado,"9,705","9,134","9,653"
Boulder,Colorado,"31,881","32,456","37,438"
Broomfield,Colorado,0,0,0
Chaffee,Colorado,"7,753","8,126","8,109"
Cheyenne,Colorado,"3,746","3,723","2,964"
Clear Creek,Colorado,"2,891","2,155","3,784"
Conejos,Colorado,"8,416","9,803","11,648"
Costilla,Colorado,"5,032","5,779","7,533"
Crowley,Colorado,"6,383","5,934","5,398"
Custer,Colorado,"2,172","2,124","2,270"
Delta,Colorado,"13,668","14,204","16,470"
Denver,Colorado,"256,491","287,861","322,412"
Dolores,Colorado,"1,243","1,412","1,958"
Douglas,Colorado,"3,517","3,498","3,496"
Eagle,Colorado,"3,385","3,924","5,361"
El Paso,Colorado,"44,027","49,570","54,025"
Elbert,Colorado,"6,380","6,580","5,460"
Fremont,Colorado,"17,883","18,896","19,742"
Garfield,Colorado,"9,304","9,975","10,560"
Gilpin,Colorado,"1,364","1,212","1,625"
Grand,Colorado,"2,659","2,108","3,587"
Gunnison,Colorado,"5,590","5,527","6,192"
Hinsdale,Colorado,538,449,349
Huerfano,Colorado,"16,879","17,062","16,088"
Jackson,Colorado,"1,340","1,386","1,798"
Jefferson,Colorado,"14,400","21,810","30,725"
Kiowa,Colorado,"3,755","3,786","2,793"
Kit Carson,Colorado,"8,915","9,725","7,512"
La Plata,Colorado,"11,218","12,975","15,494"
Lake,Colorado,"6,630","4,899","6,883"
Larimer,Colorado,"27,872","33,137","35,539"
Las Animas,Colorado,"38,975","36,008","32,369"
Lincoln,Colorado,"8,273","7,850","5,882"
Logan,Colorado,"18,427","19,946","18,370"
Mesa,Colorado,"22,281","25,908","33,791"
Mineral,Colorado,779,640,975
Moffat,Colorado,"5,129","4,861","5,086"
Montezuma,Colorado,"6,260","7,798","10,463"
Montrose,Colorado,"11,852","11,742","15,418"
Morgan,Colorado,"16,124","18,284","17,214"
Otero,Colorado,"22,623","24,390","23,571"
Ouray,Colorado,"2,620","1,784","2,089"
Park,Colorado,"1,977","2,052","3,272"
Phillips,Colorado,"5,499","5,797","4,948"
Pitkin,Colorado,"2,787","1,770","1,836"
Prowers,Colorado,"13,845","14,762","12,304"
Pueblo,Colorado,"57,638","66,038","68,870"
Rio Blanco,Colorado,"3,135","2,980","2,943"
Rio Grande,Colorado,"7,855","9,953","12,404"
Routt,Colorado,"8,948","9,352","10,525"
Saguache,Colorado,"4,638","6,250","6,173"
San Juan,Colorado,"1,700","1,935","1,439"
San Miguel,Colorado,"5,281","2,184","3,664"
Sedgwick,Colorado,"4,207","5,580","5,294"
Summit,Colorado,"1,724",987,"1,754"
Teller,Colorado,"6,696","4,141","6,463"
Washington,Colorado,"11,268","9,591","8,336"
Weld,Colorado,"54,059","65,097","63,747"
Yuma,Colorado,"13,897","13,613","12,102"
