NAME.1,NAME,pop1920,pop1930,pop1940
Adams,Colorado,14430,20245,22481
Alamosa,Colorado,5148,8602,10484
Arapahoe,Colorado,13768,22647,32150
Archuleta,Colorado,3590,3204,3806
Baca,Colorado,8721,10570,6207
Bent,Colorado,9705,9134,9653
Boulder,Colorado,31881,32456,37438
Broomfield,Colorado,NA,NA,NA
Chaffee,Colorado,7753,8126,8109
Cheyenne,Colorado,3746,3723,2964
Clear Creek,Colorado,2891,2155,3784
Conejos,Colorado,8416,9803,11648
Costilla,Colorado,5032,5779,7533
Crowley,Colorado,6383,5934,5398
Custer,Colorado,2172,2124,2270
Delta,Colorado,13668,14204,16470
Denver,Colorado,256491,287861,322412
Dolores,Colorado,1243,1412,1958
Douglas,Colorado,3517,3498,3496
Eagle,Colorado,3385,3924,5361
El Paso,Colorado,44027,49570,54025
Elbert,Colorado,6380,6580,5460
Fremont,Colorado,17883,18896,19742
Garfield,Colorado,9304,9975,10560
Gilpin,Colorado,1364,1212,1625
Grand,Colorado,2659,2108,3587
Gunnison,Colorado,5590,5527,6192
Hinsdale,Colorado,538,449,349
Huerfano,Colorado,16879,17062,16088
Jackson,Colorado,1340,1386,1798
Jefferson,Colorado,14400,21810,30725
Kiowa,Colorado,3755,3786,2793
Kit Carson,Colorado,8915,9725,7512
La Plata,Colorado,11218,12975,15494
Lake,Colorado,6630,4899,6883
Larimer,Colorado,27872,33137,35539
Las Animas,Colorado,38975,36008,32369
Lincoln,Colorado,8273,7850,5882
Logan,Colorado,18427,19946,18370
Mesa,Colorado,22281,25908,33791
Mineral,Colorado,779,640,975
Moffat,Colorado,5129,4861,5086
Montezuma,Colorado,6260,7798,10463
Montrose,Colorado,11852,11742,15418
Morgan,Colorado,16124,18284,17214
Otero,Colorado,22623,24390,23571
Ouray,Colorado,2620,1784,2089
Park,Colorado,1977,2052,3272
Phillips,Colorado,5499,5797,4948
Pitkin,Colorado,2787,1770,1836
Prowers,Colorado,13845,14762,12304
Pueblo,Colorado,57638,66038,68870
Rio Blanco,Colorado,3135,2980,2943
Rio Grande,Colorado,7855,9953,12404
Routt,Colorado,8948,9352,10525
Saguache,Colorado,4638,6250,6173
San Juan,Colorado,1700,1935,1439
San Miguel,Colorado,5281,2184,3664
Sedgwick,Colorado,4207,5580,5294
Summit,Colorado,1724,987,1754
Teller,Colorado,6696,4141,6463
Washington,Colorado,11268,9591,8336
Weld,Colorado,54059,65097,63747
Yuma,Colorado,13897,13613,12102
Allen,Kansas,23509,21391,19874
Anderson,Kansas,12986,13355,11658
Atchison,Kansas,23411,23945,22222
Barber,Kansas,9739,10178,9073
Barton,Kansas,18422,19776,25010
Bourbon,Kansas,23198,22386,20944
Brown,Kansas,20949,20553,17395
Butler,Kansas,43842,35904,32013
Chase,Kansas,7144,6952,6345
Chautauqua,Kansas,11598,10352,9233
Cherokee,Kansas,33609,31457,29817
Cheyenne,Kansas,5587,6948,6221
Clark,Kansas,4989,4796,4081
Clay,Kansas,14365,14556,13281
Cloud,Kansas,17714,18006,17247
Coffey,Kansas,14254,13653,12278
Comanche,Kansas,5302,5238,4412
Cowley,Kansas,35155,40903,38139
Crawford,Kansas,61800,49329,44191
Decatur,Kansas,8121,8866,7434
Dickinson,Kansas,25777,25870,22929
Doniphan,Kansas,13438,14063,12936
Douglas,Kansas,23998,25143,25171
Edwards,Kansas,7057,7295,6377
Elk,Kansas,9034,9210,8180
Ellis,Kansas,14138,15907,17508
Ellsworth,Kansas,10379,10132,9855
Finney,Kansas,7674,11014,10092
Ford,Kansas,14273,20647,17254
Franklin,Kansas,21946,22024,20889
Geary,Kansas,13452,14366,15222
Gove,Kansas,4748,5643,4793
Graham,Kansas,7624,7772,6071
Grant,Kansas,1087,3092,1946
Gray,Kansas,4711,6211,4773
Greeley,Kansas,1028,1712,1638
Greenwood,Kansas,14715,19235,16495
Hamilton,Kansas,2586,3328,2645
Harper,Kansas,13656,12823,12068
Harvey,Kansas,20744,22120,21712
Haskell,Kansas,1455,2805,2088
Hodgeman,Kansas,3734,4157,3535
Jackson,Kansas,15495,14776,13382
Jefferson,Kansas,14750,14129,12718
Jewell,Kansas,16240,14462,11970
Johnson,Kansas,18314,27179,33327
Kearny,Kansas,2617,3196,2525
Kingman,Kansas,12119,11674,12001
Kiowa,Kansas,6164,6035,5112
Labette,Kansas,34047,31346,30352
Lane,Kansas,2848,3372,2821
Leavenworth,Kansas,38402,42673,41112
Lincoln,Kansas,9894,9707,8338
Linn,Kansas,13815,13534,11969
Logan,Kansas,3223,4145,3688
Lyon,Kansas,26154,29240,26424
Marion,Kansas,21845,23588,24152
Marshall,Kansas,22923,20739,18951
McPherson,Kansas,22730,23056,20986
Meade,Kansas,5542,6858,5522
Miami,Kansas,19809,21243,19489
Mitchell,Kansas,13886,12774,11339
Montgomery,Kansas,49645,51411,49729
Morris,Kansas,12005,11859,10363
Morton,Kansas,3177,4092,2186
Nemaha,Kansas,18487,18342,16761
Neosho,Kansas,24000,22665,22210
Ness,Kansas,7490,8358,6864
Norton,Kansas,11423,11701,9831
Osage,Kansas,18621,17538,15118
Osborne,Kansas,12441,11568,9835
Ottawa,Kansas,10714,9819,9224
Pawnee,Kansas,9323,10510,10300
Phillips,Kansas,12505,12159,10435
Pottawatomie,Kansas,16154,15862,14015
Pratt,Kansas,12909,13312,12348
Rawlins,Kansas,6799,7362,6618
Reno,Kansas,44423,47785,52165
Republic,Kansas,15855,14745,13124
Rice,Kansas,14832,13800,17213
Riley,Kansas,20650,19882,20617
Rooks,Kansas,9966,9534,8497
Rush,Kansas,8360,9093,8285
Russell,Kansas,10748,11045,13464
Saline,Kansas,25103,29337,29535
Scott,Kansas,3121,3976,3773
Sedgwick,Kansas,92234,136330,143311
Seward,Kansas,6220,8075,6540
Shawnee,Kansas,69159,85200,91247
Sheridan,Kansas,5484,6038,5312
Sherman,Kansas,5592,7400,6421
Smith,Kansas,14985,13545,10582
Stafford,Kansas,11559,10460,10487
Stanton,Kansas,908,2152,1443
Stevens,Kansas,3943,4655,3193
Sumner,Kansas,29213,28960,26163
Thomas,Kansas,5517,7334,6425
Trego,Kansas,5880,6470,5822
Wabaunsee,Kansas,11424,10830,9219
Wallace,Kansas,2424,2882,2216
Washington,Kansas,17984,17112,15921
Wichita,Kansas,1856,2579,2185
Wilson,Kansas,21157,18646,17723
Woodson,Kansas,8984,8526,8014
Wyandotte,Kansas,122218,141211,145071
Bernalillo,New Mexico,29855,4543,6939
Catron,New Mexico,NA,328,488
Chaves,New Mexico,12075,1955,2398
Cibola,New Mexico,NA,NA,NA
Colfax,New Mexico,21550,1916,1872
Curry,New Mexico,11236,1581,1816
De Baca,New Mexico,3196,289,373
DonaAna,New Mexico,16548,2746,3041
Eddy,New Mexico,9116,1584,2431
Grant,New Mexico,21939,1905,2005
Guadalupe,New Mexico,8015,703,865
