NAME.1,NAME,pop1920,pop1930,pop1940
Adair,Oklahoma,13703,14756,15755
Alfalfa,Oklahoma,16253,15228,14129
Atoka,Oklahoma,20862,14533,18702
Beaver,Oklahoma,14048,11452,8648
Beckham,Oklahoma,18983,28991,22169
Blaine,Oklahoma,15875,20452,18543
Bryan,Oklahoma,40700,32277,38138
Caddo,Oklahoma,34207,50799,41567
Canadian,Oklahoma,22288,28155,27329
Carter,Oklahoma,40247,41419,43292
Cherokee,Oklahoma,19872,17470,21030
Choctaw,Oklahoma,32144,24142,28358
Cimarron,Oklahoma,3436,5408,3654
Cleveland,Oklahoma,19389,24948,27728
Coal,Oklahoma,18400,11521,21811
Comanche,Oklahoma,26639,34317,38988
Cotton,Oklahoma,16679,15442,12884
Craig,Oklahoma,19160,18052,21083
Creek,Oklahoma,62480,64115,55503
Custer,Oklahoma,18736,27517,23068
Delaware,Oklahoma,13868,15370,18592
Dewey,Oklahoma,12424,13250,11981
Ellis,Oklahoma,11673,10541,8466
Garfield,Oklahoma,37500,45588,45484
Garvin,Oklahoma,32455,31401,31150
Grady,Oklahoma,33943,47638,41116
Grant,Oklahoma,16072,14150,13128
Greer,Oklahoma,15836,20282,14550
Harmon,Oklahoma,11261,13834,10019
Harper,Oklahoma,7623,7761,6454
Haskell,Oklahoma,19397,16216,17324
Hughes,Oklahoma,26045,30334,29189
Jackson,Oklahoma,22141,28910,22708
Jefferson,Oklahoma,17664,17392,15107
Johnston,Oklahoma,20125,13082,15960
Kay,Oklahoma,34907,50186,47084
Kingfisher,Oklahoma,15671,15960,15617
Kiowa,Oklahoma,23094,29630,22817
Latimer,Oklahoma,13866,11184,12380
Le Flore,Oklahoma,42756,42896,45866
Lincoln,Oklahoma,33406,33738,29529
Logan,Oklahoma,27550,27761,25245
Love,Oklahoma,12433,9638,11433
Major,Oklahoma,12426,12206,11946
Marshall,Oklahoma,14674,11026,12384
Mayes,Oklahoma,16829,17883,21668
McClain,Oklahoma,19326,21575,19205
McCurtain,Oklahoma,37905,34759,41381
McIntosh,Oklahoma,26404,24924,24097
Murray,Oklahoma,13115,12410,13841
Muskogee,Oklahoma,61710,66424,65914
Noble,Oklahoma,13560,15139,14826
Nowata,Oklahoma,15899,13611,15744
Okfuskee,Oklahoma,25051,29016,26279
Oklahoma,Oklahoma,116307,221738,244159
Okmulgee,Oklahoma,55072,54558,50101
Osage,Oklahoma,36536,47334,41502
Ottawa,Oklahoma,41108,38542,35849
Pawnee,Oklahoma,19126,19882,17395
Payne,Oklahoma,30180,36905,36057
Pittsburg,Oklahoma,52570,50778,48985
Pontotoc,Oklahoma,30949,32469,39792
Pottawatomie,Oklahoma,46028,66572,54377
Pushmataha,Oklahoma,17514,14744,19466
Roger Mills,Oklahoma,10638,14164,10736
Rogers,Oklahoma,17605,18956,21078
Seminole,Oklahoma,23808,79621,61201
Sequoyah,Oklahoma,26786,19505,23138
Stephens,Oklahoma,24692,33069,31090
Texas,Oklahoma,13975,14100,9896
Tillman,Oklahoma,22433,24390,20745
Tulsa,Oklahoma,109023,187574,193363
Wagoner,Oklahoma,21371,22482,21642
Washington,Oklahoma,27002,27777,30599
Washita,Oklahoma,22237,29435,22279
Woods,Oklahoma,15939,17005,1495
Woodward,Oklahoma,14663,15844,16270
