STUSPS,NAME,NAME.1,pop1920,pop1930,pop1940
TX,Texas,Anderson,"34,318","34,643","37,092"
TX,Texas,Andrews,350,736,"1,277"
TX,Texas,Angelina,22287,"27,803","32,201"
TX,Texas,Aransas,"2,064","2,219","3,469"
TX,Texas,Archer,"5,254","9,684","7,599"
TX,Texas,Armstrong,"2,816","3,329","2,495"
TX,Texas,Atascosa,"12,702","15,654","19,275"
TX,Texas,Austin,"18,874","18,860","17,384"
TX,Texas,Bailey,517,"5,186","6,318"
TX,Texas,Bandera,"4,001","3,784","4,234"
TX,Texas,Bastrop,"26,649","23,888","21,610"
TX,Texas,Baylor,"7,027","7,418","7,755"
TX,Texas,Bee,"12,137","15,721","16,481"
TX,Texas,Bell,"46,412","50,030","44,863"
TX,Texas,Bexar,"202,096","292,533","338,176"
TX,Texas,Blanco,"4,063","3,842","4,264"
TX,Texas,Borden,965,"1,505","1,396"
TX,Texas,Bosque,"18,032","15,750","15,761"
TX,Texas,Bowie,"39,472","48,563","50,208"
TX,Texas,Brazoria,"20,614","23,054","27,069"
TX,Texas,Brazos,"21,975","21,835","26,977"
TX,Texas,Brewster,"4,822","6,624","6,478"
TX,Texas,Briscoe,"2,948","5,590","4,056"
TX,Texas,Brooks,"4,560","5,901","6,362"
TX,Texas,Brown,"21,682","26,382","25,924"
TX,Texas,Burleson,"16,855","19,848","18,334"
TX,Texas,Burnet,"9,499","10,355","10,771"
TX,Texas,Caldwell,"25,160","31,397","24,893"
TX,Texas,Calhoun,"4,700","5,385","5,911"
TX,Texas,Callahan,"11,844","12,785","11,568"
TX,Texas,Cameron,"36,662","77,540","83,202"
TX,Texas,Camp,"11,103","10,063","10,285"
TX,Texas,Carson,"3,078","7,745","6,624"
TX,Texas,Cass,"30,041","30,030","33,496"
TX,Texas,Castro,"1,948","4,720","4,631"
TX,Texas,Chambers,"4,162","5,710","7,511"
TX,Texas,Cherokee,"37,633","43,180","43,970"
TX,Texas,Childress,"10,933","16,044","12,149"
TX,Texas,Clay,"16,864","14,545","12,524"
TX,Texas,Cochran,67,"1,963","3,735"
TX,Texas,Coke,"4,557","5,253","4,590"
TX,Texas,Coleman,"18,805","23,669","20,571"
TX,Texas,Collin,"49,609","46,180","47,190"
TX,Texas,Collingsworth,"9,154","14,461","10,331"
TX,Texas,Colorado,"19,013","19,129","17,812"
TX,Texas,Comal,"8,824","11,984","12,321"
TX,Texas,Comanche,"25,748","18,430","19,245"
TX,Texas,Concho,"5,847","7,645","6,192"
TX,Texas,Cooke,"25,667","24,136","24,909"
TX,Texas,Coryell,"20,601","19,999","20,226"
TX,Texas,Cottle,"6,901","9,395","7,079"
TX,Texas,Crane,37,"2,221","2,841"
TX,Texas,Crockett,"1,500","2,590","2,809"
TX,Texas,Crosby,"6,084","11,023","10,046"
TX,Texas,Culberson,912,"1,228","1,653"
TX,Texas,Dallam,"4,528","7,830","6,494"
TX,Texas,Dallas,"210,551","325,691","398,564"
TX,Texas,Dawson,"4,309","13,573","15,367"
TX,Texas,Deaf Smith,"3,747","5,979","6,056"
TX,Texas,Delta,"15,887","13,138","12,858"
TX,Texas,Denton,"35,355","32,822","33,658"
TX,Texas,DeWitt,"27,971","27,441","24,935"
TX,Texas,Dickens,"5,876","8,601","7,847"
TX,Texas,Dimmit,"5,296","8,828","8,542"
TX,Texas,Donley,"8,035","10,262","7,487"
TX,Texas,Duval,"8,251","12,191","20,565"
